;; -*- coding: utf-8 -*--
a-li-tong 阿里通
a-mu-da-er-ding-lv 阿姆达尔定律
a-mu-si-te-lang-gong-li 阿姆斯特朗公理
a-pa-wang 阿帕网
ai-er-bu-lang-ji 埃尔布朗基
ai-er-mi-te-han-shu 埃尔米特函数
ai-ke-te 埃克特
ai-ni-a-ke 埃尼阿克
an-nei-rong-cun-qu-cun-chu-qi 按内容存取存储器
an-quan-biao-hao 安全标号
an-quan-bing-du-ku 安全病毒库
an-quan-cao-zuo-xi-tong 安全操作系统
an-quan-ce-lue 安全策略
an-quan-cuo-shi 安全措施
an-quan-deng-ji 安全等级
an-quan-dian-zi-jiao-yi 安全电子交易
an-quan-gong-neng-ping-gu 安全功能评估
an-quan-guo-lv-qi 安全过滤器
an-quan-jian-cha 安全检查
an-quan-kong-zhi 安全控制
an-quan-lei 安全类
an-quan-liu-lan-qi 安全浏览器
an-quan-lu-you-qi 安全路由器
an-quan-mo-xing 安全模型
an-quan-nei-he 安全内核
an-quan-ren-zheng-shou-quan 安全认证授权
an-quan-shen-ji 安全审计
an-quan-shi-bie 安全识别
an-quan-shi-jian 安全事件
an-quan-tao-jie-ceng 安全套接层
an-quan-ting-ji 安全停机
an-quan-wang 安全网
an-quan-wang-guan 安全网关
an-quan-wei-shi 安全卫士
an-quan-xiang-guan 安全相关
an-quan-xing 安全性
an-quan-xu-ke 安全许可
an-quan-yu 安全域
an-quan-yun-xing-mo-shi 安全运行模式
an-tian-fang-xian 安天防线
an-xu 按序
an-xu-jian-ce 按序检测
an-xu-ti-jiao 按序提交
an-xu-zhi-mi 按需知密
an-xu-zhi-xing 按序执行
an-zhao-zhi-ling 按照指令
an-zhuang-chu-li-kong-zhi 安装处理控制
an-zhuang-he-jian-yan-jie-duan 安装和检验阶段
an-zhuang-ji-shu 安装技术
ao-bo-ding-wu-qi-shi-yan-chang 奥伯丁武器试验场
ao-duo-bian-xing 凹多边形
ao-ti 凹体
ao-ting 奥汀
ao-you-liu-lan-qi 傲游浏览器
ba-bi-te-zu 八比特组
ba-cha-shu 八叉树
ba-huang-hou-wen-ti 八皇后问题
ba-jin-zhi 八进制
ba-jin-zhi-shu-zi 八进制数字
ba-ke-si 巴克斯
ba-ke-si-fan-shi 巴克斯范式
ba-wei 八位
bai-ban-fu-wu 白板服务
bai-du-gong-ju-lan 百度工具栏
bai-du-kong-jian-liu-yan-zhu-shou 百度空间留言助手
bai-he-ce-shi 白盒测试
bai-ling-fan-zui 白领犯罪
bai-mao-xi-tong-wang 白猫系统王
bai-ti 白体
bai-wan-he-zi 百万赫兹
bai-xiang 白箱
bai-xiang-ce-shi 白箱测试
bai-xiao-hao-zhou-qi 白消耗周期
bai-zao-sheng-fa-sheng-qi 白噪声发生器
bai-zhan-ting-tan-hui 拜占庭弹回
ban-ben-bian-cheng 版本编程
ban-ben-guan-li 版本管理
ban-ben-hao 版本号
ban-ben-kong-zhi 版本控制
ban-ben-sheng-ji 版本升级
ban-dao-ti-cun-chu-qi 半导体存储器
ban-gong-guo-cheng 办公过程
ban-gong-huo-dong 办公活动
ban-gong-liu-cheng 办公流程
ban-gong-xin-xi-xi-tong 办公信息系统
ban-gong-zi-dong-hua 办公自动化
ban-gong-zi-dong-hua-mo-xing 办公自动化模型
ban-jia-qi 半加器
ban-jian-qi 半减器
ban-lian-jie 半联结
ban-lian-jie 半连接
ban-nei-shi-zhong-fen-pei 板内时钟分配
ban-se-diao 半色调
ban-se-diao-tu-xiang 半色调图像
ban-shang-dian-yuan-fen-pei 板上电源分配
ban-shi-wu-fang-zhen 半实物仿真
ban-shuang-gong-chuan-shu 半双工传输
ban-sui-tiao-jian 伴随条件
ban-tou-ming 半透明
ban-tu-e-xi-tong 半图厄系统
ban-wai-shi-zhong-fen-pei 板外时钟分配
ban-xian-xing-ji 半线性集
ban-ying 半影
bang-ding 绑定
bang-shou-zhu-ti 帮手主体
bang-zhu-zhu-ti 帮助主体
bao-biao 报表
bao-biao-sheng-cheng-cheng-xu 报表生成程序
bao-biao-sheng-cheng-yu-yan 报表生成语言
bao-biao-shu-xie-cheng-xu 报表书写程序
bao-chi-yi-lai-fen-jie 保持依赖分解
bao-chou-fen-xi 报酬分析
bao-cun-qu 保存区
bao-cun-wang-ye 保存网页
bao-feng 包封
bao-feng-ying-yin 暴风影音
bao-fu-xing-gu-yuan 报复性雇员
bao-guo-lv 包过滤
bao-he-ci-ji-lu 饱和磁记录
bao-hu-di 保护地
bao-hu-dui-lie-qu 保护队列区
bao-hu-fang-shi 保护方式
bao-jia-mi 包加密
bao-jiao-huan 包交换
bao-jiao-huan-gong-yong-shu-ju-wang 包交换公用数据网
bao-jiao-huan-shu-ju-wang 包交换数据网
bao-jiao-huan-wang 包交换网
bao-jiao-huan-zong-xian 包交换总线
bao-jing-xian-shi 报警显示
bao-jing-xin-hao 报警信号
bao-jing-zhan 报警站
bao-lei-zhu-ji 堡垒主机
bao-liu-jin-wei-jia-fa-qi 保留进位加法器
bao-liu-juan 保留卷
bao-liu-nei-cun 保留内存
bao-liu-ye-xuan-xiang 保留页选项
bao-liu-zhan 保留站
bao-liu-zi 保留字
bao-lu 暴露
bao-mi 保密
bao-mo 薄膜
bao-mo-ci-pan 薄膜磁盘
bao-mo-ci-tou 薄膜磁头
bao-mo-dian-lu 薄膜电路
bao-mo-jian-pan 薄膜键盘
bao-mo-jing-ti-guan 薄膜晶体管
bao-mo-jing-ti-guan-ye-jing-xian-shi-qi 薄膜晶体管液晶显示器
bao-shi-zhong-duan 包式终端
bao-wei-he 包围盒
bao-wei-he-ce-shi 包围盒测试
bao-wen 报文
bao-wen-jia-mi 报文加密
bao-wen-jian-bie 报文鉴别
bao-wen-jian-bie-ma 报文鉴别码
bao-wen-jiao-huan 报文交换
bao-wen-zhai-yi 报文摘译
bao-xing-cha-zhi 保形插值
bao-zhuang-chai-qi 包装拆器
bei-bao-wen-ti 背包问题
bei-ce-bian-liang 被测变量
bei-diao-yong-zhe 被调用者
bei-dong-cha-xun 被动查询
bei-dong-wei-xie 被动威胁
bei-dong-zhan 被动站
bei-er 贝尔
bei-fen 备份
bei-fen-guo-cheng 备份过程
bei-fen-wen-jian 备份文件
bei-fen-yu-hui-fu 备份与恢复
bei-ji-ai-qu-mian 贝济埃曲面
bei-ji-ai-qu-xian 贝济埃曲线
bei-jian 备件
bei-jing-se 背景色
bei-mi-du-ruan-pan 倍密度软盘
bei-sai-er 贝赛尔
bei-sai-er-qu-xian 贝赛尔曲线
bei-ye-si-ding-li 贝叶斯定理
bei-ye-si-fen-lei-qi 贝叶斯分类器
bei-ye-si-fen-xi 贝叶斯分析
bei-ye-si-jue-ce-fang-fa 贝叶斯决策方法
bei-ye-si-jue-ce-gui-ze 贝叶斯决策规则
bei-ye-si-luo-ji 贝叶斯逻辑
bei-ye-si-tui-li 贝叶斯推理
bei-ye-si-tui-li-wang-luo 贝叶斯推理网络
bei-yong 备用
bei-yong-rong-yu 备用冗余
bei-yong-ti-dai-rong-yu 备用替代冗余
bei-yong-xi-tong 备用系统
ben-di-di-zhi-guan-li 本地地址管理
ben-di-jia-dian 本地加电
ben-di-jie-kou 本地接口
ben-di-zhong-duan 本地终端
ben-ti-lun 本体论
ben-ying 本影
ben-yuan-yan-yi 本原演绎
ben-zhi-shi-xiao 本质失效
beng-kui 崩溃
beng-zuo-yong-yin-li 泵作用引理
bi-bao 闭包
bi-bei-fu-wu 必备服务
bi-cuo 避错
bi-he-shi 闭合式
bi-he-yong-hu-qun 闭合用户群
bi-hua 笔画
bi-hua-bian-ma 笔画编码
bi-hua-ma 笔画码
bi-hua-xian-shi 笔画显示
bi-huan-dian-bo-tan-ce-qi 闭环电波探测器
bi-huan-kong-zhi 闭环控制
bi-ji-ben-dian-nao-chu-li-qi 笔记本电脑处理器
bi-ji-ben-hua 笔记本化
bi-ji-ben-shi-ji-suan-ji 笔记本式计算机
bi-jiao-bing-jiao-huan 比较并交换
bi-jiao-qi 比较器
bi-jiao-qi-wang-luo 比较器网络
bi-jiao-yu-yan-xue 比较语言学
bi-li-bian-huan 比例变换
bi-li-dai 比例带
bi-li-ji-fen-wei-fen-kong-zhi 比例积分微分控制
bi-li-kong-zhi 比例控制
bi-shu 笔数
bi-shu-ru-ji-suan-ji 笔输入计算机
bi-shun 笔顺
bi-te-hui-xing 比特彗星
bi-te-jing-ling 比特精灵
bi-te-xin-ling 比特信令
bi-ying-sou-suo-yin-qing 必应搜索引擎
bi-zhi-kong-zhi 比值控制
bian-chang-bian-ma 变长编码
bian-cheng 编程
bian-cheng-yu-yan 编程语言
bian-cheng-zhi-du-cun-chu-qi 编程只读存储器
bian-du 变度
bian-fu-gai 边覆盖
bian-geng-zhuan-chu 变更转储
bian-hua-jian-ce 变化检测
bian-huan 变换
bian-huan-bian-ma 变换编码
bian-huan-chu-li 变换处理
bian-huan-fen-xi 变换分析
bian-huan-gui-ze 变换规则
bian-huan-pang-cha-huan-chong-qi 变换旁查缓冲器
bian-huan-xi-tong 变换系统
bian-huan-xian-xing-huan-chong-qi 变换先行缓冲器
bian-huan-yu-yi 变换语义
bian-huan-zhong-xin 变换中心
bian-ji-cheng-xu 编辑程序
bian-ji-ju-li 编辑距离
bian-ji-qi 编辑器
bian-jian-shi-cun-chu-qi 便笺式存储器
bian-jiao 变焦
bian-jie 边界
bian-jie-biao-shi 边界表示
bian-jie-cuo-wu 边界错误
bian-jie-gen-zong 边界跟踪
bian-jie-jian-ce 边界检测
bian-jie-jian-mo 边界建模
bian-jie-ma-qi 编解码器
bian-jie-mo-xing 边界模型
bian-jie-sao-miao 边界扫描
bian-jie-tiao-jian 边界条件
bian-jie-wang-guan-xie-yi 边界网关协议
