;; -*- coding: utf-8 -*--
a-kui-na 阿奎那
a-mu-si-li-ke 阿姆斯里克
an-chang 暗娼
an-fen-gong-you 按份共有
an-fen-pei-chang-ze-ren 按份赔偿责任
an-fen-ze-ren 按份责任
an-jian-shou-li-fei 案件受理费
an-jie 按揭
an-jie-dai-kuan 按揭贷款
an-juan 案卷
an-le-si 安乐死
an-shi-dui-zheng-yan-de-ying-xiang 暗示对证言的影响
an-ya-ren 暗哑人
an-zhi-ren-kou 安置人口
ao-gu-si-ding 奥古斯丁
ao-men-te-bie-xing-zheng-qu-ji-ben-fa 澳门特别行政区基本法
ao-si-ding 奥斯丁
ban-bu-fa-lv 颁布法律
ban-gong-shi 办公室
ban-gui-lv 般规律
ban-qian-he-tong 搬迁合同
ban-quan 版权
ban-quan-qin-quan-xing-wei 版权侵权行为
ban-quan-zhuan-rang 版权转让
ban-quan-zhuan-rang-he-tong 版权转让合同
ban-shi-quan 版式权
ban-shui 版税
bang-zhu-fan 帮助犯
bao-ban-hun-yin 包办婚姻
bao-bi-zui 包庇罪
bao-dan-dao-qian 保单倒签
bao-di-tiao-kuan 保底条款
bao-dui 保兑
bao-dui-xin-yong-zheng 保兑信用证
bao-fu-xian-hai-zui 报复陷害罪
bao-fu-zhi-piao 保付支票
bao-guan 保管
bao-guan-he-tong 保管合同
bao-guan-ren-de-yi-wu 保管人的义务
bao-han 保函
bao-han-xiao-li 保函效力
bao-hu-gong-ye-chan-quan-ba-li-gong-yue 保护工业产权巴黎公约
bao-hu-xian-chang 保护现场
bao-hu-zuo-pin-wan-zheng-quan 保护作品完整权
bao-li-gan-she-hun-yin-zi-you-zui 暴力干涉婚姻自由罪
bao-mi-xie-yi 保密协议
bao-mi-yi-wu 保密义务
bao-quan-cuo-shi-de-jie-chu 保全措施的解除
bao-ren 保人
bao-shi 保释
bao-shou-zhu-yi 保守主义
bao-shui-cang-ku 保税仓库
bao-wei-bu 保卫部
bao-xian-biao-di 保险标的
bao-xian-dai-li 保险代理
bao-xian-dai-li-ren 保险代理人
bao-xian-dai-wei-quan 保险代位权
bao-xian-dan 保险单
bao-xian-fa 保险法
bao-xian-fan-wei 保险范围
bao-xian-fei 保险费
bao-xian-he-tong 保险合同
bao-xian-jia-zhi-de-que-ding 保险价值的确定
bao-xian-jin-e 保险金额
bao-xian-jing-ji-ren 保险经纪人
bao-xian-li-pei 保险理赔
bao-xian-li-yi 保险利益
bao-xian-mian-ze-tiao-kuan 保险免责条款
bao-xian-pei-chang 保险赔偿
bao-xian-pei-chang-jin 保险赔偿金
bao-xian-qi-jian 保险期间
bao-xian-qi-xian 保险期限
bao-xian-qi-yue-rang-yu 保险契约让与
bao-xian-ren 保险人
bao-xian-shi-gu 保险事故
bao-xian-shou-yi-ren 保险受益人
bao-xian-wei-xian 保险危险
bao-xian-ze-ren 保险责任
bao-xian-ze-ren-fan-wei 保险责任范围
bao-xian-zhong-lei 保险种类
bao-xiao-he-tong 包销合同
bao-xiu-he-tong 保修合同
